sentence,word,answer_english,answer_chinese,GPT-3.5,GPT-4,Ernie-3.5,Ernie-4.0
这是我新买的见磐,见磐,keyboard,键盘,Y,Y,Y,Y
我早餐吃了面包和机但,机但,egg,鸡蛋,Y,Y,Y,Y
希望站征早日结束,站征,war,战争,N,Y,Y,Y
考试期间禁止使用首姬,首姬,cellphone,手机,N,Y,Y,N
他经常七负同学,七负,bully,欺负,N,Y,Y,N
我要买一个牛肉翰宝,翰宝,hamburger,汉堡,N,Y,N,N
请注意观察宏律登,宏律登,traffic light,红绿灯,N,N,N,N
桌上有一支刚比,刚比,pen,钢笔,N,Y,Y,Y
我想吃由闸鸡翅,由闸,fried,油炸,N,Y,N,Y
锤子标志象征着攻仁,攻仁,laborer,工人,N,N,N,Y
要求总理磁直的呼声越来越高,磁直,resign,辞职,N,Y,Y,N
俄罗斯受到了西方的至才,至才,sanction,制裁,N,Y,N,N
政府对今年的经济预期十分勒关,勒关,optimistic,乐观,N,Y,Y,Y
在公园中央有一个貂项,貂项,statue,雕像,N,Y,N,Y
朝鲜政府改变了对待韩国的正测,正测,policy,政策,N,Y,Y,Y
议长宣布担任林石总统,林石,temporary,临时,N,N,N,N
美国停止了对高棉共和国的缘柱,缘柱,assistance,援助,N,Y,Y,Y
数千微信用户呼吁蟑晓聋辞职,蟑晓聋,Zhang Xiaolong,张小龙,N,N,Y,N
学生们普遍对笑涨意见很大,笑涨,headmaster,校长,N,N,N,N
这些仕已经过期的食物,仕,are,是,N,Y,N,Y
斐基发动机的制造仍然是个难题,斐基,airplane,飞机,N,Y,N,N
今日外长和伊朗总统通了垫画,垫画,phone call,电话,Y,Y,Y,N
当地橘仕目前十分敏感,橘仕,situation,局势,N,Y,Y,N
污磕蓝宣布开始新一轮征兵,污磕蓝,Ukraine,乌克兰,N,Y,N,Y
工人们经常抱怨架七太少,架七,holiday,假期,N,N,N,Y
当地群众都对判决忆份甜鹰,忆份甜鹰,righteous indignation,义愤填膺,N,N,Y,Y
此案已经成为刑侦界的经典暗立,暗立,case study,案例,Y,Y,Y,Y
两天后案情终于有了重大近斩,近斩,progress,进展,Y,Y,Y,Y
她学习十分弩例,弩例,hard working,努力,Y,Y,Y,Y
案件侦破的楠渡极大,楠渡,level of difficulty,难度,N,Y,N,Y
视野中的画面越来越魔呼,魔呼,vague,模糊,N,Y,Y,Y
他出生于一个缚桂人家,缚桂,rich,富贵,N,Y,Y,Y
小学时他就经常矿氪,矿氪,skip class,旷课,N,Y,N,N
符合这些调箭的人很多,调箭,requirement,条件,N,Y,N,N
那半截香烟成了破案的观剑,观剑,key,关键,N,Y,Y,Y
老虎行动时几乎不会发出升阴,升阴,sound,声音,N,Y,Y,Y
他出发那一天是腥七武,腥七武,Friday,星期五,Y,Y,Y,Y
一家人决定去野生动物园字架油,字架油,road trip,自驾游,N,Y,N,Y
钕续的话让陈老头怒不可遏,钕续,son-in-law,女婿,N,N,Y,N
他因生活节俭而被怀疑是供铲档,供铲档,communist,共产党,Y,Y,N,N
一名爱好者被卡在了洞穴钟兼,钟兼,middle,中间,N,N,N,Y
她是来自牛津大学的膏裁声,膏裁声,talented student,高材生,Y,Y,N,Y
