sentence,word,answer_english,answer_spanish,GPT-3.5,GPT-4,Ernie-3.5,Ernie-4.0
La muller trabaja de su casa,muller,woman,mujer,,Y,,
Quiero ir ha todos los festivales estacionales con mis amigos este verano,ha,to,a,,Y,,
"Asia del sur, habrá una tormenta grande en dos días",Asia,toward,Hacia,,N,,
"Cuando el habrió la puerta, vi un elefante grande",habrío,she/he opened,abrío,,Y,,
Su haya las lented  que se pierde,haya,find,halla,,N,,
Su creio gravar la película por luego,gravar,record,grabar,,Y,,
Ella hora a su dio por llueve,hora,prey,ora,,Y,,
La mujer vieja savia vivía en un bosque sobre una montaña grandiosa,savia,she/he knew,sabia,,Y,,
"Vaya! Sus votas son que lindisimo, quiero llorar",votas,boots,botas,,Y,,
"Si viaja a Francia y paga los gentes correcto, puede recibir un jira extrano",jira,tour,gira,,Y,,
El pescador reparó la maya de su red antes de lanzarla al mar para asegurarse de no perder ninguna captura,maya,net,malla,,Y,,
La honda del mar golpeó suavemente la orilla mientras los niños jugaban en la arena,honda,wave,onda,,Y,,
"El acerbo cultural de la región es impresionante, con una rica historia que se refleja en sus museos, música y festivales",acerbo,heritage,acervo,,Y,,
As hecho un excelente trabajo con el proyecto de ciencias,as,you have,has,,Y,,
El basto océano esconde misterios aún no descubiertos por el ser humano,basto,vast,vasto,,Y,,
"Después de la pubertad, el bello corporal comenzó a aparecer en diferentes partes de su cuerpo, marcando una etapa de cambios físicos evidentes",bello,hair,vello,,Y,,
"Si bienes a la fiesta, asegúrate de traer tu juego de mesa favorito",bienes,you come,vienes,,Y,,
La versión veta del software estará disponible para los usuarios que se registren para las pruebas antes del lanzamiento oficial,veta,beta,beta,,Y,,
"Cuando intentaba alcanzar la fruta más alta, Juan calló del árbol y se lastimó el tobillo",calló,she/he fell,cayó,,Y,,
"Es humano herrar, pero solo los sabios aprenden de sus errores",herrar,to err,errar,,Y,,
La situación económica del país es grabe y requiere medidas urgentes.,grabe,grave,grave,,Y,,
"Después de a ver revisado todos los documentos, encontramos el error que causaba el problema",a ver,to have,haber,,Y,,
"Durante la ceremonia, el soldado llevó con orgullo el hasta de la bandera al frente del desfile",hasta,pole,asta,,Y,,
"Antes de salir de la librería, decidí hojear rápidamente algunos títulos en la sección de novedades",hojear,to browse,ojear,,Y,,
"Cuando llegamos a la playa, la primera hola nos mojó los pies mientras caminábamos por la orilla",hola,wave,ola,,Y,,
